Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,96.42591029623857,0.2670842981103467,0.3407686093643202,0.015932740210727065
1.35,0.01,96.88264213885365,0.269134401585968,0.3369249042398071,0.013639692976774632
1.35,0.01,97.34360765556067,0.2648970748559384,0.3330626281908931,0.013950957772414547
1.35,0.01,97.80888028511193,0.25319157171438494,0.32918188876677207,0.01754205952021138
1.35,0.01,98.2785134051894,0.2526929428423619,0.32528298545589107,0.016199169714483923
1.35,0.01,98.75257587515041,0.24953655890576215,0.3213661133235674,0.016054850446119127
1.35,0.01,99.23112324134809,0.24858199921541563,0.317431602770548,0.01493319464201347
1.35,0.01,99.71421941212043,0.24149614473024356,0.31347974045763166,0.01652941924182935
1.35,0.01,100.20192951581326,0.23872149746984384,0.3095108295085685,0.016190482053391554
1.35,0.01,100.69432752975034,0.23576342409562664,0.3055251287084959,0.015928953049019347
1.35,0.01,101.1914736616306,0.23458893976312753,0.301523036584103,0.014858477707026134
1.35,0.01,101.69344463334039,0.22908775957099797,0.29750484713151565,0.015733854138498437
1.35,0.01,105.38377820977804,0.2018652609386952,0.2686910546145522,0.016620153978756068
1.35,0.01,105.84170910336564,0.20493172016511355,0.26520769895713653,0.013699427405852232
1.35,0.01,106.303530906332,0.20058161796792584,0.2617159552174674,0.014280394895432195
1.35,0.01,106.76930052641349,0.19676634585315989,0.2582161110948951,0.0146236949826754
1.35,0.01,107.2390615635724,0.18712660591203864,0.2547085736949426,0.01793156116872463
1.35,0.01,107.71286550786064,0.1888525457911125,0.2511937098444859,0.015471807546198917
1.35,0.01,108.19076473877928,0.1897045255800644,0.24767189963595876,0.013567209117687547
1.35,0.01,108.6728199445494,0.18035730673646533,0.24414348276207332,0.016665102856482636
1.35,0.01,109.15907807469995,0.17872154837851503,0.24060892056109187,0.015918141466797014
1.35,0.01,109.6496018310954,0.1786655397494411,0.23706858065581143,0.014387883783145903
1.35,0.01,110.14443235268583,0.1733248845223492,0.23352300765249726,0.015518017110267008
1.35,0.01,110.64364190582917,0.17414418135899642,0.22997254432399478,0.013552948768356082
1.35,0.01,111.14728884281722,0.16580913398715286,0.22641765684187787,0.016223968986646183
1.35,0.01,111.65542474555474,0.1647992888985957,0.22285888144146399,0.015125788411216127
1.35,0.01,112.16810985668876,0.15529591997541575,0.21929671594884698,0.01867835488329075
1.35,0.01,112.68540550164545,0.15763654782897682,0.21573167438303567,0.01564463697314869
1.35,0.01,113.20738214348727,0.14894331526977217,0.21216423263900444,0.01883863431310761
1.35,0.01,113.73409546655026,0.1455864102703329,0.20859499270856058,0.019032486874801212
1.35,0.01,114.265610197004,0.14254584278505547,0.20502451922939963,0.019039600848273996
1.35,0.01,114.80200050393816,0.14468900618483307,0.20145333964306789,0.01599471896900148
1.35,0.01,115.34331707167834,0.1358888769332171,0.19788216345340748,0.01942149563408889
1.35,0.01,115.8896532750664,0.1387128926651753,0.1943114447152064,0.015908476181578746
1.35,0.01,116.4410537398305,0.13541188254079786,0.1907420203706017,0.016050077200172798
1.35,0.01,116.99760631237277,0.128554858135155,0.18717432850773572,0.018358512805455866
1.35,0.01,117.55937484232534,0.12859659912287785,0.18360920780217768,0.016482763309792356
1.35,0.01,118.12644169828253,0.12418176604824206,0.18004726079940436,0.01733407934080865
1.35,0.01,118.69887332401028,0.12482442389270838,0.17648925692328563,0.015124178199909738
1.35,0.01,119.27674616576329,0.12006998969843226,0.17293593057802595,0.016160942932699127
1.35,0.01,119.86013812915239,0.11468608228936346,0.16938803660173443,0.017665378651434714
1.35,0.01,120.44913770481129,0.11428096262476778,0.16584629620737135,0.016032818870796103
1.35,0.01,121.04381691234232,0.112120020933869,0.16231156051974543,0.015520709910826953
1.35,0.01,121.6442675253863,0.10992219123461591,0.15878459329173922,0.015036309791122408
1.35,0.01,90.31819625852626,0.3314699564872431,0.39366270175670126,0.009825511908776785
1.35,0.01,90.71066171215192,0.33160161455604237,0.39018664722367596,0.008796318574941318
1.35,0.01,91.10646183381535,0.32977859223132205,0.38669101004624634,0.008376257056384994
1.35,0.01,91.50564539576773,0.32421952063508475,0.383175798506547,0.009071143621294442
1.35,0.01,91.90824976495509,0.3159035356872633,0.3796411357712549,0.010700846883238207
1.35,0.01,92.31431907045203,0.3078350770427363,0.3760870999360125,0.01238632920357244
1.35,0.01,92.72389820362743,0.31249782780353086,0.3725137775342241,0.009669210749516984
1.35,0.01,93.13703917676203,0.31541053797232366,0.3689212087895422,0.007761526914388376
1.35,0.01,93.55378222751713,0.3057228049233897,0.36530955249813474,0.00971937487606353
1.35,0.01,93.974181093948,0.3096997702217254,0.3616788667423725,0.007470235956659542
1.35,0.01,94.39827103381283,0.2995759551861354,0.35802938602329776,0.009543360712890159
1.35,0.01,94.82611398232794,0.2910697011675009,0.3543611322740286,0.011304301986524408
1.35,0.01,95.25775994978738,0.2884211902121935,0.3506742485958206,0.011051405381585448
1.35,0.01,95.69325314398748,0.27093553501448064,0.346968945755527,0.01666166272122229
1.35,0.01,96.13264519533385,0.27036396918512545,0.3432453897370062,0.015474938980913674
1.35,0.01,96.57598866221807,0.2800205096290196,0.339503758090932,0.010421848840429987
1.35,0.01,97.02334393435862,0.2689298254558203,0.33574418261696537,0.01329630877908615
1.35,0.01,97.47475873550275,0.27139140715922616,0.331966922353825,0.011053489953375765
1.35,0.01,97.93028853861777,0.2696765797988636,0.32817219199186626,0.010426650183446887
1.35,0.01,98.38999690963874,0.26880118148622395,0.32436016089160025,0.009516582382010296
1.35,0.01,98.85392728709994,0.26090193797948985,0.3205311874661951,0.01109298418807603
1.35,0.01,99.32215969704936,0.26108825299294763,0.3166853509474564,0.009760594519814406
1.35,0.01,99.79473238555623,0.25321220326195915,0.31282309810264874,0.011359323545033537
1.35,0.01,100.27172064057021,0.24373259379285825,0.30894459583816375,0.013764944485336121
1.35,0.01,100.75317918383026,0.24407603015356677,0.30505020415648376,0.012187665652014533
1.35,0.01,101.23917860858134,0.23894457880024247,0.30114017988920494,0.012845488756234938
1.35,0.01,101.72977585984091,0.24165989364335275,0.29721491618006446,0.010384271989850966
1.35,0.01,102.22503645516733,0.23520630536990564,0.29327476363531746,0.011497565639554435
1.35,0.01,102.72502716284662,0.22792895143183797,0.2893200904756491,0.013026651370461127
1.35,0.01,103.22982382296117,0.22567357594174622,0.28535122201239216,0.012480834725069506
1.35,0.01,103.73948815924768,0.2274213292567919,0.2813686239714388,0.010343408465203959
1.35,0.01,104.25409882545955,0.22557068196441923,0.277372659253096,0.009674511028745643
1.35,0.01,117.81327779566458,0.12389975472064799,0.18200977423585765,0.018552708953323848
1.35,0.01,118.32521939136312,0.12016430718638846,0.17880744571483206,0.01923307881681216
1.35,0.01,118.84151081011129,0.11497332073427122,0.17560858179682218,0.02093653309254298
1.35,0.01,119.3622156716338,0.11242856167139516,0.1724136722290478,0.020869652865079413
1.35,0.01,119.88738271829457,0.10851850611137016,0.16922331774103827,0.02177639703668227
1.35,0.01,120.4170695131445,0.10787753799587232,0.1660380837214816,0.020372730179028492
1.35,0.01,120.95133461358978,0.10712736989904374,0.16285854923585208,0.01907154622735481
1.35,0.01,121.49024586572945,0.10811282563672932,0.15968525873157016,0.016655988639457317
1.35,0.01,122.03385575655906,0.10179030910338835,0.15651886773949408,0.019136447724441896
1.35,0.01,122.58223438332028,0.09887897991731034,0.15335994905214426,0.019354310015201617
1.35,0.01,123.1354277371006,0.09664239990606067,0.15020923457165666,0.01910272550335418
1.35,0.01,123.69351660772026,0.09317571855441399,0.14706727763360394,0.01974810567461138
